EJERCICIO,INSTITUCION,NOMB_INST,AREA_GESTIO,NOMB_AREA_GEST,FUENTE_FINANC,NOMB_FUEN_FINA,CLASIF_PRESUP,NOMB_CLAS_PRES,MONTO,CLAECO,NOMB_CLAS_ECON,TIPO_AFEC_AJUS_PEP,AFECTACION,ACUERD_EJECUT,FECH_ACUE_EJEC,DECRET_LEGISL,FECH_DECR_LEGI
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51107,Beneficios Adicionales,1800000.0,2111,Remuneraciones,1,Disminución,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,1020000.0,2111,Remuneraciones,1,Disminución,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51201,Sueldos,282520.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51201,Sueldos,320525.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51201,Sueldos,320525.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51201,Sueldos,281560.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,250000.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,250000.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,412028.84,2111,Remuneraciones,2,Aumento,371.0,02/10/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,216603.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,139130.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,139130.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,180159.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,32906.82,2111,Remuneraciones,2,Aumento,371.0,02/10/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,500000.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
2018,100,Organo Legislativo,1,Conducción Administrativa,1,Fondo General,51207,Beneficios Adicionales,500000.0,2111,Remuneraciones,2,Aumento,3097.0,27/02/18,,
